Reference	Localized Group	Message	Selections	
figs-metaphor_6_19__1	Metaphor	2 selections duplicated 	["देव त्यांना देऊ इच्छित असलेल्या जीवनासाठी-1 तेच खरे जीवन आहे.-1","देव त्यांना देऊ इच्छित असलेल्या जीवनासाठी-1 तेच खरे जीवन आहे.-1","देव त्यांना देऊ इच्छित असलेल्या जीवनासाठी-1 तेच खरे जीवन आहे.-1"]	
figs-metaphor_6_19__1	Metaphor	2 duplicate migrations		
translate-unknown_5_18__1	Translate Unknowns	unable to migrate selection, there are 2 similar checks	बैल धान्याची मळणी करत असताना-1	
