Reference	Localized Group	Message	Selections	
figs-abstractnouns_4_13__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	देवाच्या पुत्रावर-1 त्याच्याविषयीचे ज्ञान-1	
figs-abstractnouns_6_23__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	बंधूंना-1 शांती लाभो.-1	
figs-abstractnouns_6_24__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	कृपा असो.-1	
figs-activepassive_1_11__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ज्यात आम्हाला देखील-1 योजनेप्रमाणे नेमले गेलो होतो,-1	
figs-metaphor_1_18__1	Metaphor	unable to migrate selection, there are 2 similar checks	त्याच्या वतनाच्या-1	
figs-metaphor_4_14__1	Metaphor	unable to migrate selection, there are 2 similar checks	आपण यापुढे लहान मुलांसारखे नसावे.-1	
figs-metaphor_4_22__1	Metaphor	unable to migrate selection, there are 4 similar checks	तुमचा जुना मनुष्य त्यास काढून टाकावा कारण तो तुमच्या पूर्वीच्या आचरणासंबंधी-1	
