Reference	Localized Group	Message	Selections	
figs-explicit_1_5__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	येशूने मिसर देशातून लोकांना सोडविले-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	अंधार-1	
figs-metaphor_1_12__1	Metaphor	unable to migrate selection, there are 5 similar checks	लपलेले खडक-1	
figs-metaphor_1_24__1	Metaphor	2 duplicate migrations		
figs-metaphor_1_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	एकीकडे देहास अपवित्र करतात-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, no match found for check in new resources	निबिड अंधार-1	
figs-metonymy_1_21__1	Metonymy	unable to migrate selection, no match found for check in new resources	आपल्या प्रभु येशू ख्रिस्ताच्या कृपेची-1 अनंतकाळच्या जीवनासाठी-1	
