Reference	Localized Group	Message	Selections	
figs-explicit_1_5__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	येशूने इजिप्त देशातून (इस्राएल लोकांची) सुटका केल्यानंतर,-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	निबीड अंधार-1	
figs-metaphor_1_12__1	Metaphor	unable to migrate selection, there are 5 similar checks	ते पाण्याखाली लपलेल्या खडकांसारखे असतात ज्यावर जहाजे आपटतात-1	
figs-metaphor_1_24__1	Metaphor	2 duplicate migrations		
figs-metaphor_1_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	स्वतःचे शरीर घाण करत-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, no match found for check in new resources	सर्वकाळचा निबीड अंधार-1	
figs-metonymy_1_21__1	Metonymy	unable to migrate selection, no match found for check in new resources	आपला प्रभू येशू मशीहा याच्या दयाळू पुनरागमनाची अपेक्षा करताना {हे करा, ज्याचा परिणाम} त्याच्याबरोबर सर्वकाळपर्यंत जगणे होईल.-1	
