full_name	clone_url	subject	stage	title	
d43/en_ulb_psa	https://git.door43.org/d43/en_ulb_psa.git	Bible	latest	Unlocked Literal Bible	
unfoldingWord/en_ult	https://git.door43.org/unfoldingWord/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
Door43-Catalog/en_ult	https://git.door43.org/Door43-Catalog/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
destatez/en_ult	https://git.door43.org/destatez/en_ult.git	Aligned Bible	latest	unfoldingWord Literal Text	
jag3773/en_ult	https://git.door43.org/jag3773/en_ult.git	Aligned Bible	latest	unfoldingWord Literal Text	
joeldruark/en_ult	https://git.door43.org/joeldruark/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
Kim.Sam/en_ult	https://git.door43.org/Kim.Sam/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
themikejr/en_ult	https://git.door43.org/themikejr/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
cecil.new/en_ult	https://git.door43.org/cecil.new/en_ult.git	Aligned Bible	preprod	unfoldingWord® Literal Text	
pjoakes/en_ult	https://git.door43.org/pjoakes/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
test_org/en_ult	https://git.door43.org/test_org/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
test_org2/en_ult	https://git.door43.org/test_org2/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
Johan/en_ult	https://git.door43.org/Johan/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
test_org3/en_ult	https://git.door43.org/test_org3/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
Samuel_Kim/en_ult	https://git.door43.org/Samuel_Kim/en_ult.git	Aligned Bible	latest	unfoldingWord® Literal Text	
unfoldingWord/en_ust	https://git.door43.org/unfoldingWord/en_ust.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
Door43-Catalog/en_ust	https://git.door43.org/Door43-Catalog/en_ust.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
deferredreward/en_ust	https://git.door43.org/deferredreward/en_ust.git	Aligned Bible	latest	unfoldingWord Simplified Text	
pjoakes/en_ust	https://git.door43.org/pjoakes/en_ust.git	Aligned Bible	latest	unfoldingWord Simplified Text	
joeldruark/en_ust	https://git.door43.org/joeldruark/en_ust.git	Aligned Bible	latest	unfoldingWord Simplified Text	
Kim.Sam/en_ust	https://git.door43.org/Kim.Sam/en_ust.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
test_org/en_ust	https://git.door43.org/test_org/en_ust.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
test_org2/en_ust	https://git.door43.org/test_org2/en_ust.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
test_org3/en_ust	https://git.door43.org/test_org3/en_ust.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
Grant_Ailie/en_ust_	https://git.door43.org/Grant_Ailie/en_ust_.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
unfoldingWord/en_ust_GrantA	https://git.door43.org/unfoldingWord/en_ust_GrantA.git	Aligned Bible	latest	unfoldingWord® Simplified Text	
STR/en_webp	https://git.door43.org/STR/en_webp.git	Bible	latest	The World English Bible	
tx-manager-test-data/en-ulb	https://git.door43.org/tx-manager-test-data/en-ulb.git	Bible	latest	Unlocked Literal Bible	
ShofarSukkot5780/es_tw	https://git.door43.org/ShofarSukkot5780/es_tw.git	Translation Words	latest	translationWords	
HQTLT/es-419_ta	https://git.door43.org/HQTLT/es-419_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
abelper8/es-419_ta_test	https://git.door43.org/abelper8/es-419_ta_test.git	Translation Academy	latest	unfoldingWord® Translation Academy	
LarryPinero/es-419-ta	https://git.door43.org/LarryPinero/es-419-ta.git	Translation Academy	latest	translationAcademy	
birch/es-419-tA	https://git.door43.org/birch/es-419-tA.git	Translation Academy	latest	translationAcademy	
birch/es-419-tA-test	https://git.door43.org/birch/es-419-tA-test.git	Translation Academy	latest	translationAcademy	
fa_gl/fa_ta	https://git.door43.org/fa_gl/fa_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
fa_gl/fa_tw	https://git.door43.org/fa_gl/fa_tw.git	Translation Words	latest	unfoldingWord® Translation Words	
Bussard/fr_ta	https://git.door43.org/Bussard/fr_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
d43/fr_ta	https://git.door43.org/d43/fr_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
zp_translate_test/hi_tn	https://git.door43.org/zp_translate_test/hi_tn.git	TSV Translation Notes	latest	unfoldingWord® Translation Notes	
translationCore-Create-BCS/hi_tw	https://git.door43.org/translationCore-Create-BCS/hi_tw.git	Translation Words	latest	unfoldingWord® Translation Words	
Kn_BCS/kn_ta	https://git.door43.org/Kn_BCS/kn_ta.git	Translation Academy	latest	translationAcademy	
translationCore-Create-BCS/kn_ta	https://git.door43.org/translationCore-Create-BCS/kn_ta.git	Translation Academy	latest	translationAcademy	
Zenithtek/kn_ta	https://git.door43.org/Zenithtek/kn_ta.git	Translation Academy	latest	translationAcademy	
translator09/Mk1notes	https://git.door43.org/translator09/Mk1notes.git	Bible	latest	Unlocked Literal Bible	
richmahn/my_repo	https://git.door43.org/richmahn/my_repo.git	Translation Academy	prod	Rich' TA	
DMS_GL/my_ta	https://git.door43.org/DMS_GL/my_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
DMS/my_tn	https://git.door43.org/DMS/my_tn.git	TSV Translation Notes	latest	unfoldingWord® Translation Notes	
DMS_GL/my_tn	https://git.door43.org/DMS_GL/my_tn.git	TSV Translation Notes	latest	unfoldingWord® Translation Notes	
DMS_GL/my_tw	https://git.door43.org/DMS_GL/my_tw.git	Translation Words	latest	unfoldingWord® Translation Words	
DMS/my_tw	https://git.door43.org/DMS/my_tw.git	Translation Words	latest	unfoldingWord® Translation Words	
richmahn/psa_lk	https://git.door43.org/richmahn/psa_lk.git	Bible	latest	Unlocked Literal Bible	
ru_tech/ru_ta	https://git.door43.org/ru_tech/ru_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
ru_gl/ru_ta_1lv	https://git.door43.org/ru_gl/ru_ta_1lv.git	Translation Academy	latest	unfoldingWord® Translation Academy	
ru_gl/ru_tw_1lv	https://git.door43.org/ru_gl/ru_tw_1lv.git	Translation Words	latest	translationWords	
ru_gl/ru_tw_2lv	https://git.door43.org/ru_gl/ru_tw_2lv.git	Translation Words	latest	translationWords	
destatez/t_en_ulb	https://git.door43.org/destatez/t_en_ulb.git	Bible	latest	Unlocked Literal Bible	
translationCore-Create-BCS/te_tA	https://git.door43.org/translationCore-Create-BCS/te_tA.git	Translation Academy	latest	translationAcademy	
98564/TranslationAcademyEng_Esp	https://git.door43.org/98564/TranslationAcademyEng_Esp.git	Translation Academy	latest	translationAcademy	
ru_tech/uhb2.1.15_ugnt0.14_onlyStrong	https://git.door43.org/ru_tech/uhb2.1.15_ugnt0.14_onlyStrong.git	Aligned Bible	latest	Literal Text	
translate_test/vcb15	https://git.door43.org/translate_test/vcb15.git	Aligned Bible	latest	Contemporary Bible in Vietnamese	
vi_gl/vi_ta	https://git.door43.org/vi_gl/vi_ta.git	Translation Academy	latest	unfoldingWord® Translation Academy	
VGM/vn_tn	https://git.door43.org/VGM/vn_tn.git	TSV Translation Notes	latest	unfoldingWord® Translation Notes	
