CN+Old	Door43-Catalog	ru_rlb	Aligned_Bible	https://git.door43.org/Door43-Catalog/ru_rlb/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"GeCraft\",\"Russian Open Bible Committee\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Akhat Yarosh\",\"zakbaku\",\"Serhii Yarosh\",\"Artur Musayelyan\",\"Bakhtiyor Shodiev\",\"serg.ignashin\",\"Vladimir Shamrai\",\"Ashot Muradyan\","
Old	Door43-Catalog	ru_obs	Open Bible Stories		"{\"checking\":{\"checking_entity\":[\"Arman Arenbaev\",\"Bagrat Gevorgyan\",\"Elena Zastechik\",\"Katya Savitskaya\",\"Luda Ignashina\",\"Parviz Kamilov\",\"Rusang\",\"Ruslan Saitbatalov\",\"Samuel Kim\",\"Sergey Sheidt\",\"Russian Open Bible\"],\"checking_level\":\"3\"},\"comment\":\"\",\""
CN+Old	Door43-Catalog	hi_ulb	Bible	https://git.door43.org/Door43-Catalog/hi_ulb/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Jobby Prasannan\",\"Dr. Bobby Chellapan\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Christopher\",\"Dr. Bobby Chellapan\",\"Dr. Chander Sekhar\",\"Dr. Ghir\",\"Hinal Pra"
CN+Old	Door43-Catalog	hi_gst	Aligned_Bible	https://git.door43.org/Door43-Catalog/hi_gst/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Dr. Bobby Chellapan\",\"Dr. George Edward\",\"Dr. Joseph Jekab\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Amos Khokhar\",\"Dr. Bobby Chellapan\",\"Jinu Jacob\",\"M.V Sunny\",\"Robin\",\"Vipin Bhadran\",\"Zipso"
CN+Old	Door43-Catalog	hi_tw	Translation_Words	https://git.door43.org/Door43-Catalog/hi_tw/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellapan\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Christopher\",\"Dr. Bobby Chellapan\",\"Hind Prakash\",\"Jinu Jaco"
CN+Old	Door43-Catalog	hi_irv	Aligned_Bible	https://git.door43.org/Door43-Catalog/hi_irv/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Jobby Prasannan\",\"Dr. Bobby Chellapan\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Christopher\",\"Dr. Bobby Chellapan\",\"Dr. Chander Sekhar\",\"Dr. Ghir\",\"Dr. Josep"
CN+Old	Door43-Catalog	hi_glt	Aligned_Bible	https://git.door43.org/Door43-Catalog/hi_glt/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"Antoney Raj\",\"Cdr Thomas Mathew\",\"Dr George Edward\",\"Dr Joseph Jekab\",\"Dr Bobby Chellapan\",\"Hind Prakash\",\"Jobby Prasannan\",\"Shojo John\",\"Vipin Bhadran\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Amos"
CN+Old	Door43-Catalog	hi_udb	Bible	https://git.door43.org/Door43-Catalog/hi_udb/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Cdr. Thomas Mathew\",\"Hind Prakash\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellapan\",\"Hind Prakash\",\"Rinu John\",\"Shojo John\",\"Sunny\"],\"creator\":\""
Old	Door43-Catalog	hi_obs-tq	OBS Translation Questions		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Apostolic Faith Church (3 different congregations)\",\"Delhi Indian Pentecostal Church (has Global Presence)\",\"Dr. Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Door43 World Missions Community\",\""
Old	Door43-Catalog	hi_obs	Open Bible Stories		"{\"checking\":{\"checking_entity\":[\"BCS\",\"Apostolic Faith Church (3 different congregations)\",\"Delhi Indian Pentecostal Church (has Global Presence)\",\"Delhi and beyond\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr."
CN+Old	Door43-Catalog	hi_tn	TSV_Translation_Notes	https://git.door43.org/Door43-Catalog/hi_tn/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Dr. Bobby Chellappan\",\"Jobby Prasannan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Antoney Raj\",\"Cdr. Thomas Mathew\",\"Dr. Bobby Chellappan\",\"Hind Prakash\",\"Jinu Jacob\",\"Dr. Joseph Jekab\",\"MV Sun"
Old	Door43-Catalog	hi_tq	Translation Questions		"{\"checking\":{\"checking_entity\":[\"Jobby Prasannan\",\"Hind Prakash\",\"BCS\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acsah Jacob\",\"Antoney Raj\",\"Cdr Thomas Mathew\",\"Dr Bobby Chellappan\",\"Hind Prakash\",\"Jinu Jacob\",\"Shojo John\",\"Vipin Bhadran\"],\"creat"
CN+Old	Door43-Catalog	hi_ta	Translation_Academy	https://git.door43.org/Door43-Catalog/hi_ta/archive/master.zip	"{\"checking\":{\"checking_entity\":[\"BCS\",\"Dr.Bobby Chellappan\"],\"checking_level\":\"3\"},\"comment\":\"\",\"contributor\":[\"Acash Jacob\",\"Cdr.Thomas Mathew\",\"Dr.Bobby Chellappan\",\"Dr. Joseph Jekab\",\"Hind Prakash\",\"Jinu Jacob\",\"Shojo John\",\"Sunny\",\"Vipin Bhadran\"],\"cre"
