Reference	Localized Group	Message	Selections	
figs-hendiadys_2_13__1	Hendiadys	unable to migrate selection, there are 2 similar checks	ಅಪ್ಪರು ನಮ್ಮ ಮಹೋನ್ನತ್ತು ಅಣ್ಣ ಸ್ವಾಮಿ ಅಪ್ಪರು ರಕ್ಷಕು ಅಣ್ಣ ಯೇಸು ಕ್ರಿಸ್ತು-1	
figs-metonymy_2_13__1	Metonymy	unable to migrate selection, there are 2 similar checks	ಅಪ್ಪರು ನಮ್ಮ ಮಹೋನ್ನತ್ತು ಅಣ್ಣ ಸ್ವಾಮಿ ಅಪ್ಪರು ರಕ್ಷಕು ಅಣ್ಣ ಯೇಸು ಕ್ರಿಸ್ತು ಮಹಿಮೆವಿ ಪ್ರತ್ಯಕ್ಷು ಅವುರತೆವಿ-1	
