Reference	Localized Group	Message	Selections	
figs-activepassive_6_1__1	Active or Passive	2 selections duplicated 	["ಆಗ ಜನರು ದೇವರ ಖ್ಯಾತಿಯನ್ನು ಅಥವಾ ನಾವು ಬೋಧಿಸುವಂಥ ವಿಷಯಗಳನ್ನು ದೂಷಿಸುವುದಿಲ್ಲ-1","ಆಗ ಜನರು ದೇವರ ಖ್ಯಾತಿಯನ್ನು ಅಥವಾ ನಾವು ಬೋಧಿಸುವಂಥ ವಿಷಯಗಳನ್ನು ದೂಷಿಸುವುದಿಲ್ಲ-1"]	
figs-activepassive_6_1__1	Active or Passive	2 duplicate migrations		
figs-inclusive_1_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಾವು ಬಲ್ಲೆವು-1	
figs-inclusive_4_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮಿಂದ ಸಾಧ್ಯವಾಗುವಷ್ಟರ ಮಟ್ಟಿಗೆ ನಾವು ಕಷ್ಟಪಟ್ಟು ಕೆಲಸಮಾಡುತ್ತಿದ್ದೇವೆ-1	
figs-metaphor_6_19__1	Metaphor	2 duplicate migrations		
figs-metonymy_6_3__1	Metonymy	2 selections duplicated 	["ವಿಶ್ವಾಸಾರ್ಹವಾದ ಬೋಧನೆಯನ್ನು-1","ವಿಶ್ವಾಸಾರ್ಹವಾದ ಬೋಧನೆಯನ್ನು-1"]	
figs-metonymy_6_3__1	Metonymy	2 duplicate migrations		
figs-you_1_3__1	Forms of You	unable to migrate selection, no match found for check in new resources	ನಿನ್ನನ್ನು-1	
