Reference	Localized Group	Message	Selections	
figs-activepassive_22_22__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಆತನನ್ನು ಹಿಡಿದುಕೊಡುವವನ-1	
figs-explicit_18_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ಅವನಿಗಿಂತ-1	
figs-metaphor_20_18__1	Metaphor	unable to migrate selection, there are 2 similar checks	ಅದು ಯಾರ ಮೇಲೆ ಬೀಳುವುದೋ ಅದು ಅವನನ್ನು ಪುಡಿಪುಡಿ ಮಾಡುವುದು”-1	
translate-symaction_18_13__1	Symbolic Action	unable to migrate selection, there are 2 similar checks	ಎದೆಯನ್ನುಬಡಕೊಳ್ಳುತ್ತಾ-1	
