Reference	Localized Group	Message	Selections	
figs-activepassive_6_1__1	Active or Passive	2 duplicate migrations		
figs-inclusive_1_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಾವು ಬಲ್ಲೆವು-1	
figs-inclusive_4_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಾವು ಕಷ್ಟಪಟ್ಟು ಕೆಲಸಮಾಡುತ್ತೇವೆ ಮತ್ತು ಪ್ರಯಾಸಪಡುತ್ತೇವೆ-1	
figs-metaphor_6_19__1	Metaphor	2 duplicate migrations		
figs-metonymy_6_3__1	Metonymy	2 duplicate migrations		
figs-you_1_3__1	Forms of You	unable to migrate selection, no match found for check in new resources	ನಿನ್ನನ್ನು-1	
