Reference	Localized Group	Message	Selections	
figs-nominaladj_13_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ಮುಂದೆ ಇದು-1	
figs-nominaladj_15_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ಕಳೆದುಹೋದರೆ-1	
figs-nominaladj_17_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ನಿನಗೆ ಆಜ್ಞಾಪಿಸಿದ ಎಲ್ಲಾ ವಿಷಯಗಳನ್ನು-1	
figs-nominaladj_17_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ವಿಷಯಗಳನ್ನು ಆಜ್ಞಾಪಿಸಿ-1	
figs-nominaladj_19_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ಕಳೆದು ಹೋದವರನ್ನು-1	
figs-nominaladj_23_47__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ಅಲ್ಲಿ ನಡೆದ ಸಂಗತಿಯನ್ನು ನೋಡಿ,-1	
figs-nominaladj_23_48__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ಘಟನೆಯನ್ನು ನೋಡಿ-1	
figs-nominaladj_24_18__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ನಡೆದಿರುವ ಸಂಗತಿಗಳು ನಿನಗೆ ಗೊತ್ತಿಲ್ಲವೋ-1	
figs-nominaladj_24_44__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ನನ್ನ ವಿಷಯವಾಗಿ-1 ಬರೆದಿರುವ ಎಲ್ಲವೂ-1	
