Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нашего-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нашего-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нашего-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-2	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	наши-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	мы-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нашего-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нашего-1	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	для осквернённых и неверующих нет ничего чистого-1	
