Reference	Localized Group	Message	Selections	
figs-explicit_1_5__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	तर सुरुदेखि हामीसँग भएको-1	
figs-hendiadys_1_3__1	Hendiadys	unable to migrate selection, no match found for check in new resources	सत्यता र प्रेममा-1	
figs-metaphor_1_1__1	Metaphor	unable to migrate selection, there are 2 similar checks	चुनिएकी महिला र तिनका छोराछोरीहरूलाई-1	
