Reference	Localized Group	Message	Selections	
figs-nominaladj_3_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	সেই দিকে ঘোরানো যায়।-1	
figs-nominaladj_3_6__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	যা-1 কলঙ্কিত করে-1	
