Reference	Localized Group	Message	Selections	
figs-nominaladj_3_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	নাবিক-1 সে-2	
figs-nominaladj_3_6__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	দূষিত করে-1	
