Reference	Localized Group	Message	Selections	
figs-inclusive_1_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम जानते हैं-1	
figs-inclusive_4_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम अत्याधिक कठिन परिश्रम करते हैं, उतना अधिक कि जितना हम कर सकते हैं-1	
figs-you_1_3__1	Forms of You	unable to migrate selection, no match found for check in new resources	तू-1	
