Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
shojojohn/hi_irv_1ki_book	2022-09-10T11:55:28.919Z	78	en	v2.1.11	0	en		0				2020-03-19T05:36:32.576Z	2.1.1	7			
shojojohn/hi_irv_1pe_book	2022-09-10T11:55:28.919Z	16			0			0				2019-06-11T08:53:42.633Z		7			
shojojohn/hi_irv_1th_book	2022-09-10T11:55:28.919Z	100			0			0				2019-06-05T09:47:08.332Z		7			
shojojohn/hi_irv_1ti_book	2022-09-10T11:55:28.919Z	99			0			0				2019-04-05T09:54:08.376Z		7			
shojojohn/hi_irv_2ch_book	2022-09-10T11:55:28.919Z	58	en		0			0				2020-03-05T09:20:51.530Z	2.1.0	7			
shojojohn/hi_irv_2co_book	2022-09-10T11:55:28.919Z	83			0			0				2019-07-18T04:47:44.150Z	1.1.4	7			
shojojohn/hi_irv_2jn_book	2022-09-10T11:55:28.919Z	21			0			0				2019-07-18T05:04:28.336Z	1.1.4	7			
shojojohn/hi_irv_2ki_book	2022-09-10T11:55:28.919Z	50			0			0				2019-07-11T06:12:47.642Z	1.1.4	7			
shojojohn/hi_irv_2pe_book	2022-09-10T11:55:28.919Z	98			0			0				2019-07-09T11:34:31.290Z	1.1.4	7			
shojojohn/hi_irv_2sa_book	2022-09-10T11:55:28.919Z	100	en		0			0				2020-02-17T09:14:14.517Z	2.1.0	7			
shojojohn/hi_irv_2th_book	2022-09-10T11:55:28.919Z	18			0			0				2019-06-05T09:47:59.059Z		7			
shojojohn/hi_irv_2ti_book	2022-09-10T11:55:28.919Z	100			0			0				2019-04-24T08:27:21.646Z		7			
shojojohn/hi_irv_3jn_book	2022-09-10T11:55:28.919Z	100			0			0				2019-04-18T06:40:41.953Z		7			
shojojohn/hi_irv_act_book	2022-09-10T11:55:28.919Z	99			0			0				2019-05-20T06:01:34.270Z		7			
shojojohn/hi_irv_col_book	2022-09-10T11:55:28.919Z	12			0			0				2019-06-05T09:48:50.061Z		7			
shojojohn/hi_irv_dan_book	2022-09-10T11:55:28.919Z	42	en	v2.1.11	0			0				2020-03-09T07:54:10.123Z	2.1.1	7			
shojojohn/hi_irv_deu_book	2022-09-10T11:55:28.919Z	100	en		0			0				2020-02-11T11:26:46.334Z	2.1.0	7			
