Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Isaac.Jani/ory_oglt_1th_book		100	en	v0.24	99	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-05-24T06:53:19.704Z	3.2.0	7	unmatched tn checks found, 		
Isaac.Jani/ory_oglt_2pe_book		100	en	v0.22	100	en	v0.22	81	en	v54	v0.22	2022-03-24T09:54:30.808Z	3.1.0	7	unmatched tn checks found, 		
Isaac.Jani/ory_oglt_2th_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-01-05T03:02:21.974Z	3.4.0	8			
Isaac.Jani/ory_oglt_col_book		100	en	v0.22	100	en	v0.22	100	en	v54	v0.22	2022-05-22T10:11:45.460Z	3.1.0	7	unmatched tn checks found, 		
Isaac.Jani/ory_oglt_jhn_book		99	en	v0.24	100	en	v0.24	99	en	v60_Door43-Catalog	v0.24	2022-08-23T06:11:59.296Z	3.2.0	7	unmatched tn checks found, 		
Isaac.Jani/ory_oglt_jud_book		100	en	v0.22	100	en	v0.22	17	en	v54	v0.22	2022-03-24T13:26:57.924Z	3.1.0	7			
Isaac.Jani/ory_oglt_phm_book		100	en	v0.22	100	en	v0.22	28	en	v54	v0.22	2022-03-25T07:47:13.171Z	3.1.0	7			
Isaac.Jani/ory_oglt_php_book		100	en	v0.22	100	en	v0.22	62	en	v54	v0.22	2022-05-20T07:00:09.231Z	3.1.0	7	unmatched tn checks found, 		
Isaac.Jani/ory_ogst_1co_book		100	en	v0.29	100	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2023-01-17T17:04:04.962Z	3.4.0	8			
Isaac.Jani/ory_ogst_1pe_book		100	en	v0.24	100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-07-28T10:58:30.559Z	3.2.0	7	unmatched tn checks found, 		
Isaac.Jani/ory_ogst_2pe_book		100	en	v0.22	100	en	v0.22	100	en	v57	v0.22	2022-03-31T15:25:45.960Z	3.1.0	7	unmatched tn checks found, 		
Isaac.Jani/ory_ogst_2th_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-01-28T03:01:18.462Z	3.4.0	8			
Isaac.Jani/ory_ogst_jas_book	2023-09-19T17:18:08.123Z	100	en	v0.14	99	en	v0.14	96	en	v33	v0.14	2021-11-15T18:13:05.600Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
Isaac.Jani/ory_ogst_jud_book		100	en	v0.22	100	en	v0.22	100	en	v57	v0.22	2022-03-25T05:32:24.774Z	3.1.0	7			
Isaac.Jani/ory_ogst_luk_book		89	en	v0.14	0			0				2022-01-22T13:58:13.667Z	3.0.1	7			
Isaac.Jani/ory_ogst_phm_book		100	en	v0.22	100	en	v0.22	100	en	v57	v0.22	2022-03-29T07:42:39.546Z	3.1.0	7			
jinu/ory_oglt_jhn_book		81	en	v0.24	96	en	v0.24	90	en	v60_Door43-Catalog	v0.24	2022-08-23T06:11:59.296Z	3.2.0	7	unmatched tn checks found, 		
jinu/ory_ogst_jhn_book		99	en	v0.24	100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-07-28T10:45:35.425Z	3.2.0	7	unmatched tn checks found, 		
manash12d/ory_glto_jon_book																Empty Repo: manash12d/ory_glto_jon_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/manash12d/ory_glto_jon_book/archive/master.zip: Download did not succeed, code 404	
manash12d/ory_oglt_1co_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-01-05T03:06:36.411Z	3.4.0	8			
manash12d/ory_oglt_1pe_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-07-28T10:58:30.559Z	3.4.0	8			
manash12d/ory_oglt_1ti_book	2023-09-19T17:18:08.123Z	100	en	v0.21	99	en	v0.21	98	en	v52	v0.22	2021-07-20T19:03:25.676Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
manash12d/ory_oglt_2co_book		100	en	v0.30	99	en	v0.30	62	en	v66_Door43-Catalog	v0.30	2023-05-15T15:13:43.099Z	3.4.0	8			
manash12d/ory_oglt_2jn_book	2023-09-19T17:18:08.123Z	93	en	v0.22	0			2	en	v52	v0.22	2021-10-23T06:52:06.226Z	3.0.1	7			
manash12d/ory_oglt_2pe_book		100	en	v0.24	100	en	v0.22	100	en	v60_Door43-Catalog	v0.24	2022-03-24T09:54:30.808Z	3.2.0	7			
manash12d/ory_oglt_2th_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-01-05T03:02:21.974Z	3.4.0	8			
manash12d/ory_oglt_col_book		100	en	v0.22	100	en	v0.22	100	en	v60_Door43-Catalog	v0.24	2022-05-22T10:11:45.460Z	3.2.0	7			
manash12d/ory_oglt_jhn_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-08-23T06:11:59.296Z	3.4.0	8			
manash12d/ory_oglt_jon_book	2023-09-19T17:18:08.123Z	100	en	v2.1.15	100	en	v2.1.15	100	en	v54	v2.1.23	2021-11-16T09:53:14.392Z	3.0.1	7			
manash12d/ory_oglt_jud_book		0	en	v0.24	100	en	v0.22	100	en	v60_Door43-Catalog	v0.24	2022-03-24T13:26:57.924Z	3.2.0	7			
manash12d/ory_oglt_mrk_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-05-06T12:35:20.769Z	3.4.0	8			
manash12d/ory_oglt_phm_book		0	en		100	en	v0.22	100	en	v60_Door43-Catalog	v0.24	2022-03-25T07:47:13.171Z	3.2.0	7			
manash12d/ory_oglt_php_book		100	en	v0.22	100	en	v0.22	100	en	v60_Door43-Catalog	v0.24	2022-05-20T07:00:09.231Z	3.2.0	7			
manash12d/ory_ogst_1co_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-01-17T17:04:04.962Z	3.4.0	8			
manash12d/ory_ogst_1jn_book		98	en	v0.22	99	en	v0.22	98	en	v57	v0.22	2021-10-29T10:26:39.911Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
manash12d/ory_ogst_1pe_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-07-28T10:58:30.559Z	3.4.0	8			
manash12d/ory_ogst_1th_book		100	en	v0.24	99	en	v0.24	99	en	v60_Door43-Catalog	v0.24	2022-06-03T13:51:40.883Z	3.2.0	7	unmatched tn checks found, 		
manash12d/ory_ogst_1ti_book	2023-09-19T17:18:08.123Z	99	en	v0.22	100	en	v0.22	99	en	v52	v0.22	2021-09-17T03:48:02.560Z	3.0.1	7	unmatched tn checks found, 		
manash12d/ory_ogst_2co_book		100	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-04-30T10:11:31.656Z	3.4.0	8			
manash12d/ory_ogst_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.22	100	en	v0.22	96	en	v52	v0.22	2021-09-21T03:20:40.312Z	3.0.1	7			
manash12d/ory_ogst_2th_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-01-28T03:01:18.462Z	3.4.0	8			
manash12d/ory_ogst_2ti_book	2023-09-19T17:18:08.123Z	100	en	v0.22	100	en	v0.22	99	en	v52	v0.22	2021-09-25T17:10:46.541Z	3.0.1	7	unmatched tn checks found, 		
manash12d/ory_ogst_col_book		100	en	v0.24	100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-05-28T07:25:36.832Z	3.2.0	7			
manash12d/ory_ogst_eph_book	2023-09-19T17:18:08.123Z	97	en	v0.22	97	en	v0.22	93	en	v52	v0.22	2021-10-07T15:47:45.017Z	3.0.1	7	unmatched tn checks found, 		
manash12d/ory_ogst_jhn_book		100	en	v0.30	100	en	v0.24	85	en	v66_Door43-Catalog	v0.30	2022-07-28T10:45:35.425Z	3.2.0	7			
manash12d/ory_ogst_jon_book	2023-09-19T17:18:08.123Z	100	en	v2.1.23	99	en	v2.1.23	99	en	v52	v2.1.22	2021-09-25T16:33:20.887Z	3.0.1	7			
manash12d/ory_ogst_luk_book		100	en	v0.22	100	en	v0.22	99	en	v57	v0.22	2021-12-09T06:11:45.290Z	3.0.1	7	unmatched tn checks found, 		
manash12d/ory_ogst_mrk_book		99	en	v0.30	100	en	v0.30	100	en	v66_Door43-Catalog	v0.30	2023-04-24T14:04:06.236Z	3.4.0	8			
manash12d/ory_ogst_php_book		100	en	v0.24	100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-05-26T16:53:53.492Z	3.2.0	7			
manash12d/ory_ogst_rut_book	2023-09-19T17:18:08.123Z	100	en	v2.1.23	100	en	v2.1.23	98	en	v52	v2.1.22	2021-09-25T13:31:05.481Z	3.0.1	7	unmatched tn checks found, 		
Raju_Abraham/ory_ado_eph_book		0			0			0				2018-12-10T10:43:05.731Z		7			
RixonReji0401/ory_oglt_1pe_book		100	en	v0.24	81	en	v0.24	85	en	v65_Door43-Catalog	v0.29	2022-08-23T06:15:40.919Z	3.4.0	8			
Robert7/ory_oglt_1pe_book		100	en	v0.29	94	en	v0.29	97	en	v65_Door43-Catalog	v0.29	2022-08-23T06:15:40.919Z	3.4.0	8			
shojojohn/ory_irv_3jn_book	2022-01-10T14:37:20.312Z	19	en	v0.13	0			0				2020-10-14T11:17:14.176Z	3.0.0	7			
shojojohn/ory_irv_tit_book	2022-01-10T14:37:20.312Z	12	en	v0.13	0			0				2020-10-14T11:15:01.434Z	3.0.0	7			
shojojohn/ory_oglt_jon_book																Empty Repo: shojojohn/ory_oglt_jon_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/shojojohn/ory_oglt_jon_book/archive/master.zip: Download did not succeed, code 404	
shojojohn/ory_ogst_eph_book	2022-01-11T15:15:19.768Z	71	en	v0.22	90		v0.22	85				2021-12-08T10:46:33.350Z	3.0.1	7			
Shyam_G/ory_glt_luk_book		99	en	v0.22	99	en	v0.22	99	en	v54	v0.22	2021-11-23T07:21:27.675Z	3.0.1	7			
Shyam_G/ory_oglt_1jn_book	2023-09-19T17:18:08.123Z	100	en	v0.22	100	en	v0.22	98	en	v54	v0.22	2021-11-06T09:15:37.514Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
Sibaji.Digal/ory_oglt_1pe_book		0			100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-08-23T06:15:40.919Z	3.2.0	7	unmatched tn checks found, 		
Sibaji.Digal/ory_oglt_jhn_book		0			100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-08-23T06:11:59.296Z	3.2.0	7	unmatched tn checks found, 		
Sibaji.Digal/ory_ogst_1pe_book		0			100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-07-28T10:58:30.559Z	3.2.0	7	unmatched tn checks found, 		
Sibaji.Digal/ory_ogst_jhn_book		0			100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-07-28T10:45:35.425Z	3.2.0	7	unmatched tn checks found, 		
Sibaji.Digal/ory_ogst_jud_book		0	en	v0.22	100	en	v0.22	100	en	v57	v0.22	2022-03-25T05:32:24.774Z	3.1.0	7			
Sibaji.Digal/ory_ogst_phm_book		0	en		100	en	v0.22	100	en	v57	v0.22	2022-03-29T07:42:39.546Z	3.1.0	7			
vipinbhadran_BCS/ory_irv_3jn_book		19	en	v0.13	0			0				2020-10-14T11:17:14.176Z	3.0.0	7			
vipinbhadran_BCS/ory_irv_tit_book		12	en	v0.13	0			0				2020-10-14T11:15:01.434Z	3.0.0	7			
vipinbhadran_BCS/ory_oglt_jon_book																Empty Repo: vipinbhadran_BCS/ory_oglt_jon_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/vipinbhadran_BCS/ory_oglt_jon_book/archive/master.zip: Download did not succeed, code 404	
vipinbhadran_BCS/ory_ogst_eph_book		71	en	v0.22	90		v0.22	85				2021-12-08T10:46:33.350Z	3.0.1	7			
