Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error		
avaldizantest/en_ult_lev_book	2022-09-08T17:30:38.064Z	100	en	v2.1.14	0	en	v2.1.11	0				2019-10-17T15:10:02.457Z	3.0.0	7			
avaldizantest/en_ult_num_book	2022-09-08T17:30:38.064Z	8	en	v2.1.14	0	en	v2.1.14	0				2019-10-17T15:11:27.459Z	3.0.0	7			
avaldizantest/en_ult_num_book_orig	2022-09-08T17:30:38.064Z	8	en	v2.1.14	0	en	v2.1.14	0				2019-10-17T15:11:27.459Z	3.0.0	7			
avaldizantest/en_ulta_num_book	2022-09-08T17:30:38.064Z	8	en	v2.1.14	0	en	v2.1.14	0				2019-10-17T15:11:27.459Z	3.0.0	7			
avaldizantest/en_ultb_1ti_book	2022-09-08T17:30:38.064Z	100	en	v0.13	0			0	en	v32	v0.13	2020-08-17T22:00:55.554Z	3.0.0	7			
avaldizantest/en_ultr_1ti_book	2022-09-08T17:30:38.064Z	100	en	v0.13	0			0	en	v32	v0.13	2020-08-17T22:00:55.554Z	3.0.0	7			
avaldizantest/en_ults_neh_book	2022-09-08T17:30:38.064Z	98	en	v2.1.12	0	en		0	en	v28	v2.1.12	2019-04-26T21:47:08.489Z	3.0.0	7			
bcameron93/en_ult_2sa_book		100	en	v2.1.29	0			0				2022-09-05T13:29:54.314Z	3.3.0	7			
bcameron93/en_ult_ecc_book		100	en	v2.1.29	0	en	v2.1.27	0				2022-07-07T16:29:40.339Z	3.3.0	7			
bcameron93/en_ult_sng_book		100	en	v2.1.29	0			0				2022-05-10T15:22:33.968Z	3.3.0	7			
benjore/en_abc_tit_book	2022-09-08T17:30:38.064Z	96			5			0				2018-09-04T18:57:06.810Z		6			
benjore/en_abcd_tit_book	2022-09-08T17:30:38.064Z	83			5			3				2019-01-31T14:32:25.031Z		7			
benjore/en_foo_mrk_book	2022-09-08T17:30:38.064Z	100			0			0				2019-03-20T15:10:55.018Z		7			
benjore/en_qaa_1pe_book	2022-09-08T17:30:38.064Z	99			0			0				2018-06-20T16:23:42.037Z		6			
benjore/en_ult_1jn_book	2022-09-08T17:30:38.064Z	15			0			0				2018-06-12T18:25:48.180Z		6			
benjore/en_ult_1pe_book	2022-09-08T17:30:38.064Z	100			0			0				2018-06-20T16:23:42.037Z		7			
benjore/en_ult_act_book	2022-09-08T17:30:38.064Z	100			0			0				2018-06-08T20:16:01.266Z		7			
benjore/en_ult_phm_book	2022-09-08T17:30:38.064Z	100			0			0				2019-02-08T15:37:34.910Z		7			
benjore/en_ult_rev_book	2022-09-08T17:30:38.064Z	100			0			0				2019-06-13T15:54:18.611Z	1.1.4	7			
benjore/en_ult_rut_book	2022-09-08T17:30:38.064Z	49			0			0				2019-02-08T19:11:20.677Z		7			
benjore/en_ust_tit_book	2022-09-08T17:30:38.064Z	98			2			0				2019-01-30T19:48:39.425Z		7			
benjore/en_usta_mrk_book	2022-09-08T17:30:38.064Z	98			0			0				2018-08-10T19:37:09.499Z		7			
benjore/en_ustb_mrk_book	2022-09-08T17:30:38.064Z	98			0			0				2018-08-10T19:37:09.499Z	1.1.4	7			
benjore/en_web_mrk_book	2022-09-08T17:30:38.064Z	3			1			0				2019-05-13T17:52:03.693Z		7			
birch/en_kjv_1ti_book	2022-09-08T17:30:38.064Z	1	en	v0.21	0			2	en	v52	v0.21	2021-06-23T12:31:29.838Z	3.0.1	7			
birch/en_web_mrk_book	2022-09-08T17:30:38.064Z	3			1			0				2019-05-13T17:52:03.693Z		7			
bspidel/en_ult_jon_book	2022-09-08T17:30:38.064Z	100	en		88	en		75	en			2019-06-13T15:08:30.339Z	2.0.0	7	duplicate tn migrations found, unmatched tn checks found, 		
bspidel/en_ult_rut_book	2022-09-08T17:30:38.064Z	100	en		96	en		74	en			2019-06-11T19:35:14.527Z	2.0.0	7	unmatched tn checks found, 		
bspidel/en_ust_jon_book	2022-09-08T17:30:38.064Z	100	en		88	en		79	en			2019-08-07T21:26:41.233Z	2.0.0	7	duplicate tn migrations found, unmatched tn checks found, 		
bspidel/en_ust_rut_book	2022-09-08T17:30:38.064Z	96	en		88	en		68	en			2019-08-07T19:18:34.776Z	2.0.0	7	unmatched tn checks found, 		
christopherrsmith/en_ult_1jn_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2021-01-08T14:00:47.006Z	3.0.1	7			
christopherrsmith/en_ult_1ti_book	2022-09-08T17:30:38.064Z	100	en	v0.13	0	en	v0.13	0				2020-09-19T15:28:31.027Z	3.0.0	7			
christopherrsmith/en_ult_2jn_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2020-11-30T21:19:05.831Z	3.0.1	7			
christopherrsmith/en_ult_2ti_book	2022-09-08T17:30:38.064Z	7	en	v0.13	0			0				2020-09-19T15:29:16.379Z	3.0.0	7			
christopherrsmith/en_ult_act_book		100	en	v0.29	0			0				2022-04-11T13:36:20.574Z	3.3.0	7			
christopherrsmith/en_ult_act_book_old	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2021-06-16T20:27:11.935Z	3.0.1	7			
christopherrsmith/en_ult_act_book_older		100	en	v0.14	0			0				2021-08-27T12:28:50.546Z	3.0.1	7			
christopherrsmith/en_ult_jas_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2021-04-27T09:29:43.771Z	3.0.1	7			
christopherrsmith/en_ult_luk_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2020-12-29T14:41:07.782Z	3.0.1	7			
christopherrsmith/en_ust_1jn_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2021-04-05T12:48:36.323Z	3.0.1	7			
christopherrsmith/en_ust_1ti_book	2022-09-08T17:30:38.064Z	99	en	v0.13	0	en	v0.13	0				2020-09-19T12:17:54.721Z	3.0.0	7			
christopherrsmith/en_ust_2jn_book	2022-09-08T17:30:38.064Z	100	en	v0.14	0			0				2020-12-07T18:27:22.921Z	3.0.1	7			
christopherrsmith/en_ust_2ti_book	2022-09-08T17:30:38.064Z	100	en	v0.13	0			0				2020-09-19T15:27:41.330Z	3.0.0	7			
christopherrsmith/en_ust_act_book		99	en	v0.29	0			0				2021-06-18T15:40:12.043Z	3.3.0	7			
