Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
sachin_nerlekar/mr_mgst_2co_book		100	en	v0.30	100	en	v0.30	98	en	v66_Door43-Catalog	v0.30	2023-04-17T13:14:08.937Z	3.4.0	8			
sachin_nerlekar/mr_mgst_2pe_book		0	en	v0.14	99	en	v0.22	99	en	v54	v0.22	2022-03-22T05:28:47.520Z	3.0.1	7	unmatched tn checks found, 		
sachin_nerlekar/mr_mgst_col_book		0	en		100	en	v0.24	99	en	v60	v0.24	2022-05-07T18:35:04.989Z	3.0.1	7	unmatched tn checks found, 		
sachin_nerlekar/mr_mgst_jhn_book		0	en		0	en		0	en	v60	v0.24	2022-07-20T08:17:49.936Z	3.0.1	7			
sachin_nerlekar/mr_mgst_jon_book		0	en		0			0				2022-07-20T08:00:48.935Z	3.0.1	7			
sachin_nerlekar/mr_mgst_jud_book		0	en		99	en	v0.22	97	en	v54	v0.22	2022-03-22T16:08:43.640Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sachin_nerlekar/mr_mgst_mrk_book		99	en	v0.30	99	en	v0.30	99	en	v66_Door43-Catalog	v0.30	2023-02-17T06:18:42.119Z	3.4.0	8			
sachin_nerlekar/mr_mgst_phm_book		0	en		100	en	v0.22	100	en	v54	v0.22	2022-03-22T16:12:01.105Z	3.0.1	7	unmatched tn checks found, 		
sachin_nerlekar/mr_mgst_php_book		99	en	v0.22	99	en	v0.24	92	en	v60	v0.24	2022-05-05T07:02:36.331Z	3.0.1	7	unmatched tn checks found, 		
sachin_nerlekar/mr_ugst_2pe_book		100	en	v0.23	99	en	v0.23	99	en	v58	v0.23	2022-03-22T05:28:47.520Z	3.0.1	7	unmatched tn checks found, 		
sachin_nerlekar/mr_ugst_jud_book		100	en	v0.23	99	en	v0.23	100	en	v58	v0.23	2022-03-22T16:08:43.640Z	3.0.1	7	unmatched tn checks found, 		
sachin_nerlekar/mr_ugst_phm_book		100	en	v0.23	100	en	v0.23	100	en	v58	v0.23	2022-03-22T16:12:01.105Z	3.0.1	7			
shojojohn/mr_irv_1co_book	2022-01-10T14:37:20.312Z	78			0			0				2019-08-12T05:11:30.314Z	1.1.4	7			
shojojohn/mr_irv_1jn_book	2022-01-10T14:37:20.312Z	76			0			0				2019-04-29T05:01:51.836Z		7			
shojojohn/mr_irv_1pe_book	2022-01-10T14:37:20.312Z	76			0			0				2019-08-12T05:14:45.055Z	1.1.4	7			
shojojohn/mr_irv_1th_book	2022-01-10T14:37:20.312Z	76			0			0				2019-09-13T05:38:07.659Z	1.1.4	7			
shojojohn/mr_irv_1ti_book	2022-01-10T14:37:20.312Z	12			0			0				2019-09-13T05:38:50.219Z	1.1.4	7			
shojojohn/mr_irv_2co_book	2022-01-10T14:37:20.312Z	56			0			0				2019-09-13T05:35:47.127Z	1.1.4	7			
shojojohn/mr_irv_2jn_book	2022-01-10T14:37:20.312Z	80			0			0				2019-09-13T05:42:03.288Z	1.1.4	7			
shojojohn/mr_irv_2th_book	2022-01-10T14:37:20.312Z	84			0			0				2019-08-12T05:14:00.731Z	1.1.4	7			
shojojohn/mr_irv_3jn_book	2022-01-10T14:37:20.312Z	75			0			0				2019-09-13T05:43:01.689Z	1.1.4	7			
shojojohn/mr_irv_act_book	2022-01-10T14:37:20.312Z	15			0			0				2019-09-13T05:32:24.079Z	1.1.4	7			
shojojohn/mr_irv_eph_book	2022-01-10T14:37:20.312Z	31			0			0				2019-09-13T05:36:37.647Z	1.1.4	7			
shojojohn/mr_irv_gal_book	2022-01-10T14:37:20.312Z	88			0			0				2019-08-12T05:12:29.563Z	1.1.4	7			
shojojohn/mr_irv_heb_book	2022-01-10T14:37:20.312Z	9			0			0				2019-09-13T05:40:28.203Z	1.1.4	7			
shojojohn/mr_irv_jas_book	2022-01-10T14:37:20.312Z	8			0			0				2019-09-13T05:41:21.245Z	1.1.4	7			
shojojohn/mr_irv_jhn_book	2022-01-10T14:37:20.312Z	29			0			0				2019-09-13T05:29:14.158Z	1.1.4	7			
