Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Amos.Khokhar/gu_gglt_1jn_book																Empty Repo: Amos.Khokhar/gu_gglt_1jn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Amos.Khokhar/gu_gglt_1jn_book/archive/master.zip: Download did not succeed, code 404	
vipinbhadran_BCS/gu_gglt_tit_book		100	en	v0.14	100		v0.14	100	en	v33	v0.14	2021-07-13T10:59:53.940Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
vipinbhadran_BCS/gu_ggst_3jn_book		93	en	v0.14	71	en	v0.14	100	en	v33	v0.14	2021-07-13T11:07:41.893Z	3.0.1	7			
vipinbhadran_BCS/gu_ggst_tit_book		100	en	v0.14	99	en	v0.14	99	en	v33	v0.14	2021-07-13T11:02:49.626Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
vipinbhadran_BCS/gu_irv_1co_book		100	en		0	en		0	en			2019-10-30T10:35:03.643Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_1jn_book		100	en		0	en		0	en			2019-11-21T10:19:27.834Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_1th_book		97	en		0	en		0	en			2019-11-21T06:45:44.448Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_2co_book		100	en		0	en		0	en			2019-10-31T07:26:05.913Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_2pe_book		100	en		0	en		0	en			2019-11-21T09:20:40.565Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_2th_book		96	en		0	en		0	en			2019-11-21T08:42:38.205Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_3jn_book		50			0			0				2019-05-20T05:59:46.847Z		7			
vipinbhadran_BCS/gu_irv_act_book		100	en		0	en		0	en			2019-10-28T09:49:58.025Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_col_book		98	en		0	en		0	en			2019-11-21T05:45:22.932Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_eph_book		98	en		0			0	en			2019-11-20T09:47:16.077Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_gal_book		100	en		0	en		0	en			2019-11-20T06:57:35.850Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_heb_book		99	en		0	en		0	en			2019-11-21T11:34:35.983Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_jhn_book		100	en		0	en		0	en			2019-10-25T09:28:55.083Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_luk_book		100	en		0	en		0	en			2019-10-23T09:39:11.940Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_mat_book		100	en		0	en		0	en			2019-10-22T06:16:08.124Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_mrk_book		100	en		0	en		0	en			2019-10-21T09:15:22.982Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_php_book		96	en		0	en		0	en			2019-11-20T11:22:49.271Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_rev_book		100	en		0	en		0	en			2019-11-22T07:29:29.184Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_rom_book		100	en		0	en		0	en			2019-10-30T05:03:51.022Z	2.0.0	7			
vipinbhadran_BCS/gu_irv_tit_book		61			0			0				2019-05-02T05:00:46.687Z		7			
WilsonJacob/gu_gglt_jas_book	2023-09-19T17:18:08.123Z	98	en	v0.14	99	en	v0.14	81	en	v53	v0.22	2021-10-12T09:11:18.367Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
WilsonJacob/gu_ggst_1ti_book																Empty Repo: WilsonJacob/gu_ggst_1ti_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/WilsonJacob/gu_ggst_1ti_book/archive/master.zip: Download did not succeed, code 404	
WilsonJacob/gu_ggst_luk_book																Empty Repo: WilsonJacob/gu_ggst_luk_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/WilsonJacob/gu_ggst_luk_book/archive/master.zip: Download did not succeed, code 404	
