Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Pro/ru_rob_phm_book	2021-12-22T12:50:20.216Z	92			2			0				2019-05-15T10:45:42.866Z		7			
Pro/ru_ulb_1co_book	2021-12-22T12:50:20.216Z	99	en	v0.14	0			0				2020-08-14T17:44:05.974Z	3.0.1	7			
Pro/ru_ulb_3jn_book	2021-12-22T12:50:20.216Z	100	en		0			0				2020-01-13T17:10:53.619Z	2.0.0	7			
Pro/ru_ulb_act_book	2021-12-22T12:50:20.216Z	100	en		0	en		0	en			2019-08-14T11:21:22.861Z	2.0.0	7			
Pro/ru_ulb_luk_book	2021-12-22T12:50:20.216Z	100	en		0	en		0	en			2019-08-14T11:18:39.937Z	2.0.0	7			
Pro/ru_ulb_rom_book	2021-12-22T12:50:20.216Z	99	en	v0.14	0	en		0	en			2020-01-25T20:33:07.002Z	3.0.1	7			
Pro/ru_ulb_tit_book	2021-12-22T12:50:20.216Z	100	en		1			0				2019-05-14T12:20:23.897Z	2.0.0	7			
qa99/ru_ulb_jhn_book	2021-12-22T12:50:20.216Z	0			0			0				2018-12-10T16:02:06.663Z		7			
richmahn/ru_rlob_est_book	2021-12-22T12:50:20.216Z	100	en	v2.1.15	100	ru	v2.1.15	87	en	v33	v2.1.15	2021-01-26T23:15:02.767Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
richqa/ru_rlob_est_book	2021-12-22T12:50:20.216Z	100	en	v2.1.15	100	ru	v2.1.15	87	en	v33	v2.1.15	2021-01-26T23:15:02.767Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
rob/ru_rob_1ch_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:19:14.437Z	3.0.1	7			
rob/ru_rob_1co_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:23:06.650Z	3.0.1	7			
rob/ru_rob_1jn_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:24:11.015Z	3.0.1	7			
rob/ru_rob_1ki_book	2021-12-22T12:50:20.216Z	0	en		0	en		0				2020-07-07T18:39:43.851Z	3.0.1	7			
rob/ru_rob_1pe_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:28:20.685Z	3.0.1	7			
rob/ru_rob_1sa_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:29:18.580Z	3.0.1	7			
rob/ru_rob_1th_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:30:36.577Z	3.0.1	7			
rob/ru_rob_1ti_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:32:05.725Z	3.0.1	7			
rob/ru_rob_2ch_book	2021-12-22T12:50:20.216Z	0	en		0	hi		0				2021-03-21T21:33:37.199Z	3.0.1	7			
rob/ru_rob_2co_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T21:35:02.080Z	3.0.1	7			
rob/ru_rob_2jn_book	2021-12-22T12:50:20.216Z	0	en		0			0				2021-03-21T20:59:36.710Z	3.0.1	7			
